County,Year-Month,Value,AQI,Pollutant
San Luis Obispo.721,7/1/2015,0.502273,29,42401
San Luis Obispo.821,8/1/2015,0.5373375,35,42401
San Luis Obispo.921,9/1/2015,0.7,36,42401
San Luis Obispo.1021,10/1/2015,0.7477275,37,42401
San Luis Obispo.1121,11/1/2015,0.8710475,47,42401
San Luis Obispo.1221,12/1/2015,0.85,50,42401
San Mateo.141,1/1/2015,0.958117,71,42401
San Mateo.221,2/1/2015,0.7069265,44,42401
San Mateo.321,3/1/2015,0.786364,35,42401
San Mateo.421,4/1/2015,0.690909,42,42401
San Mateo.521,5/1/2015,0.486364,38,42401
San Mateo.621,6/1/2015,0.4704545,34,42401
San Mateo.721,7/1/2015,0.509091,28,42401
San Mateo.821,8/1/2015,0.522727,34,42401
San Mateo.921,9/1/2015,0.672727,35,42401
San Mateo.1021,10/1/2015,0.7,34,42401
San Mateo.1121,11/1/2015,0.8409095,42,42401
San Mateo.1221,12/1/2015,0.831818,44,42401
Santa Barbara.141,1/1/2015,0.9231605,72,42401
Santa Barbara.221,2/1/2015,0.704545,45,42401
Santa Barbara.321,3/1/2015,0.772671,35,42401
Santa Barbara.421,4/1/2015,0.668182,42,42401
Santa Barbara.521,5/1/2015,0.5199605,37,42401
Santa Barbara.621,6/1/2015,0.5181815,33,42401
Santa Barbara.721,7/1/2015,0.514286,27,42401
Santa Barbara.821,8/1/2015,0.547826,35,42401
Santa Barbara.921,9/1/2015,0.752174,35,42401
Santa Barbara.1021,10/1/2015,0.777767,36,42401
Santa Barbara.1121,11/1/2015,0.909091,43,42401
Santa Barbara.1221,12/1/2015,0.8822135,46,42401
Santa Clara.141,1/1/2015,0.958117,70,42401
Santa Clara.221,2/1/2015,0.7069265,43,42401
Santa Clara.321,3/1/2015,0.786364,35,42401
Santa Clara.421,4/1/2015,0.690909,42,42401
Santa Clara.521,5/1/2015,0.486364,38,42401
Santa Clara.621,6/1/2015,0.4704545,34,42401
Santa Clara.721,7/1/2015,0.509091,28,42401
Santa Clara.821,8/1/2015,0.522727,34,42401
Santa Clara.921,9/1/2015,0.672727,35,42401
Santa Clara.1021,10/1/2015,0.7,33.5,42401
Santa Clara.1121,11/1/2015,0.8409095,39,42401
Santa Clara.1221,12/1/2015,0.831818,40,42401
Santa Cruz.141,1/1/2015,0.958117,71,42401
Santa Cruz.221,2/1/2015,0.7069265,44,42401
Santa Cruz.321,3/1/2015,0.786364,35,42401
Santa Cruz.421,4/1/2015,0.690909,42,42401
Santa Cruz.521,5/1/2015,0.486364,37,42401
Santa Cruz.621,6/1/2015,0.4704545,33,42401
Santa Cruz.721,7/1/2015,0.509091,27,42401
Santa Cruz.821,8/1/2015,0.522727,33,42401
Santa Cruz.921,9/1/2015,0.672727,34,42401
Santa Cruz.1021,10/1/2015,0.7,33,42401
Santa Cruz.1121,11/1/2015,0.8409095,42,42401
Santa Cruz.1221,12/1/2015,0.831818,43,42401
Shasta.141,1/1/2015,0.919048,75,42401
Shasta.221,2/1/2015,0.704762,46,42401
Shasta.321,3/1/2015,0.769048,34,42401
Shasta.421,4/1/2015,0.645455,41,42401
Shasta.521,5/1/2015,0.4553975,37,42401
Shasta.621,6/1/2015,0.5,33,42401
Shasta.721,7/1/2015,0.502273,26.5,42401
Shasta.821,8/1/2015,0.5373375,38,42401
Shasta.921,9/1/2015,0.7,40,42401
Shasta.1021,10/1/2015,0.7477275,38,42401
Shasta.1121,11/1/2015,0.8710475,48,42401
Shasta.1221,12/1/2015,0.85,50.5,42401
Sierra.141,1/1/2015,0.933333,73.5,42401
Sierra.221,2/1/2015,0.693182,46,42401
Sierra.321,3/1/2015,0.766667,35,42401
Sierra.421,4/1/2015,0.645455,42,42401
Sierra.521,5/1/2015,0.513636,38,42401
Sierra.621,6/1/2015,0.490476,34.5,42401
Sierra.721,7/1/2015,0.509091,29,42401
Sierra.821,8/1/2015,0.522727,35,42401
Sierra.921,9/1/2015,0.673913,35,42401
Sierra.1021,10/1/2015,0.722727,36,42401
Sierra.1121,11/1/2015,0.85,45,42401
Sierra.1221,12/1/2015,0.838095,48,42401
Siskiyou.141,1/1/2015,0.919048,74.5,42401
Siskiyou.221,2/1/2015,0.704762,47,42401
Siskiyou.321,3/1/2015,0.769048,35,42401
Siskiyou.421,4/1/2015,0.645455,42,42401
Siskiyou.521,5/1/2015,0.4553975,38,42401
Siskiyou.621,6/1/2015,0.5,34.5,42401
Siskiyou.721,7/1/2015,0.502273,29,42401
Siskiyou.821,8/1/2015,0.5373375,35,42401
Siskiyou.921,9/1/2015,0.7,40,42401
Siskiyou.1021,10/1/2015,0.7477275,37,42401
Siskiyou.1121,11/1/2015,0.8710475,47,42401
Siskiyou.1221,12/1/2015,0.85,50,42401
Solano.141,1/1/2015,0.940909,70,42401
Solano.221,2/1/2015,0.704762,43,42401
Solano.321,3/1/2015,0.777273,36,42401
Solano.421,4/1/2015,0.665909,42,42401
Solano.521,5/1/2015,0.46,38,42401
Solano.621,6/1/2015,0.4887165,35,42401
Solano.721,7/1/2015,0.509091,30,42401
Solano.821,8/1/2015,0.527273,34,42401
Solano.921,9/1/2015,0.695652,35,42401
Solano.1021,10/1/2015,0.745455,34,42401
Solano.1121,11/1/2015,0.8613875,39,42401
Solano.1221,12/1/2015,0.85,40,42401
Sonoma.141,1/1/2015,0.963636,71,42401
Sonoma.221,2/1/2015,0.75303,44,42401
Sonoma.321,3/1/2015,0.790909,35,42401
Sonoma.421,4/1/2015,0.704762,42,42401
Sonoma.521,5/1/2015,0.563636,37,42401
Sonoma.621,6/1/2015,0.561905,33,42401
Sonoma.721,7/1/2015,0.540909,27,42401
Sonoma.821,8/1/2015,0.547826,34,42401
Sonoma.921,9/1/2015,0.75,34,42401
Sonoma.1021,10/1/2015,0.777273,34,42401
Sonoma.1121,11/1/2015,0.9067195,42,42401
Sonoma.1221,12/1/2015,0.882609,44,42401
Stanislaus.141,1/1/2015,0.940909,72,42401
Stanislaus.221,2/1/2015,0.704545,44,42401
Stanislaus.321,3/1/2015,0.777273,35,42401
Stanislaus.421,4/1/2015,0.6688735,42,42401
Stanislaus.521,5/1/2015,0.513636,37,42401
Stanislaus.621,6/1/2015,0.4977275,33,42401
Stanislaus.721,7/1/2015,0.513636,27,42401
Stanislaus.821,8/1/2015,0.542857,35,42401
Stanislaus.921,9/1/2015,0.7133395,35,42401
Stanislaus.1021,10/1/2015,0.759091,35,42401
Stanislaus.1121,11/1/2015,0.875593,43,42401
Stanislaus.1221,12/1/2015,0.863636,45,42401
Sutter.141,1/1/2015,0.958117,72,42401
Sutter.221,2/1/2015,0.7069265,44,42401
Sutter.321,3/1/2015,0.786364,35,42401
Sutter.421,4/1/2015,0.690909,42,42401
Sutter.521,5/1/2015,0.486364,38,42401
Sutter.621,6/1/2015,0.4704545,34,42401
Sutter.721,7/1/2015,0.509091,29,42401
Sutter.821,8/1/2015,0.522727,35,42401
Sutter.921,9/1/2015,0.672727,35,42401
Sutter.1021,10/1/2015,0.7,35,42401
Sutter.1121,11/1/2015,0.8409095,43,42401
Sutter.1221,12/1/2015,0.831818,45,42401
Tehama.141,1/1/2015,0.919048,70,42401
Tehama.221,2/1/2015,0.704762,43,42401
Tehama.321,3/1/2015,0.769048,36,42401
Tehama.421,4/1/2015,0.645455,43,42401
Tehama.521,5/1/2015,0.4553975,39,42401
Tehama.621,6/1/2015,0.5,37,42401
Tehama.721,7/1/2015,0.502273,31,42401
Tehama.821,8/1/2015,0.5373375,35,42401
Tehama.921,9/1/2015,0.7,36,42401
Tehama.1021,10/1/2015,0.7477275,35,42401
Tehama.1121,11/1/2015,0.8710475,42,42401
Tehama.1221,12/1/2015,0.85,43,42401
Trinity.141,1/1/2015,0.947826,75,42401
Trinity.221,2/1/2015,0.722727,46,42401
Trinity.321,3/1/2015,0.809091,34,42401
Trinity.421,4/1/2015,0.711067,41,42401
Trinity.521,5/1/2015,0.531818,36,42401
Trinity.621,6/1/2015,0.490476,31,42401
Trinity.721,7/1/2015,0.518182,26,42401
Trinity.821,8/1/2015,0.545455,38,42401
Trinity.921,9/1/2015,0.695652,40,42401
Trinity.1021,10/1/2015,0.75,38,42401
Trinity.1121,11/1/2015,0.8650435,48,42401
Trinity.1221,12/1/2015,0.863636,50.5,42401
Tulare.141,1/1/2015,0.911111,70,42401
Tulare.221,2/1/2015,0.704545,44,42401
Tulare.321,3/1/2015,0.786364,35,42401
Tulare.421,4/1/2015,0.6688735,42,42401
Tulare.521,5/1/2015,0.463636,38,42401
Tulare.621,6/1/2015,0.4866605,33,42401
Tulare.721,7/1/2015,0.490909,27,42401
Tulare.821,8/1/2015,0.542857,34,42401
Tulare.921,9/1/2015,0.7,34,42401
Tulare.1021,10/1/2015,0.763636,33,42401
Tulare.1121,11/1/2015,0.8650435,41,42401
Tulare.1221,12/1/2015,0.86087,42,42401
Tuolumne.141,1/1/2015,0.963636,74,42401
Tuolumne.221,2/1/2015,0.75303,47,42401
Tuolumne.321,3/1/2015,0.790909,35,42401
Tuolumne.421,4/1/2015,0.704762,42.5,42401
Tuolumne.521,5/1/2015,0.563636,38,42401
Tuolumne.621,6/1/2015,0.561905,35,42401
Tuolumne.721,7/1/2015,0.540909,30,42401
Tuolumne.821,8/1/2015,0.547826,36.5,42401
Tuolumne.921,9/1/2015,0.75,36,42401
Tuolumne.1021,10/1/2015,0.777273,37,42401
Tuolumne.1121,11/1/2015,0.9067195,47,42401
Tuolumne.1221,12/1/2015,0.882609,49,42401
Ventura.141,1/1/2015,0.96087,71,42401
Ventura.221,2/1/2015,0.7113635,44,42401
Ventura.321,3/1/2015,0.786364,35,42401
Ventura.421,4/1/2015,0.690909,42,42401
Ventura.521,5/1/2015,0.545455,38,42401
Ventura.621,6/1/2015,0.531818,34,42401
Ventura.721,7/1/2015,0.53125,29,42401
Ventura.821,8/1/2015,0.547826,34,42401
Ventura.921,9/1/2015,0.7133395,35,42401
Ventura.1021,10/1/2015,0.763636,34,42401
Ventura.1121,11/1/2015,0.868182,42,42401
Ventura.1221,12/1/2015,0.865909,43.5,42401
Yolo.141,1/1/2015,0.947826,70,42401
Yolo.221,2/1/2015,0.722727,43,42401
Yolo.321,3/1/2015,0.809091,36,42401
Yolo.421,4/1/2015,0.711067,43,42401
Yolo.521,5/1/2015,0.531818,38,42401
Yolo.621,6/1/2015,0.490476,36,42401
Yolo.721,7/1/2015,0.518182,30,42401
Yolo.821,8/1/2015,0.545455,34,42401
Yolo.921,9/1/2015,0.695652,35.5,42401
Yolo.1021,10/1/2015,0.75,34,42401
Yolo.1121,11/1/2015,0.8650435,39,42401
Yolo.1221,12/1/2015,0.863636,40,42401
Yuba.141,1/1/2015,0.958117,72,42401
Yuba.221,2/1/2015,0.7069265,44,42401
Yuba.321,3/1/2015,0.786364,35,42401
Yuba.421,4/1/2015,0.690909,42,42401
Yuba.521,5/1/2015,0.486364,38,42401
Yuba.621,6/1/2015,0.4704545,34,42401
Yuba.721,7/1/2015,0.509091,29,42401
Yuba.821,8/1/2015,0.522727,35,42401
Yuba.921,9/1/2015,0.672727,35,42401
Yuba.1021,10/1/2015,0.7,35,42401
Yuba.1121,11/1/2015,0.8409095,43,42401
Yuba.1221,12/1/2015,0.831818,45,42401
Alameda.151,1/1/2015,17.091304,70,42602
Alameda.231,2/1/2015,11.045652,43,42602
Alameda.331,3/1/2015,10.204348,35,42602
Alameda.431,4/1/2015,6.1,42,42602
Alameda.531,5/1/2015,3.747826,38,42602
Alameda.631,6/1/2015,5.256522,34,42602
Alameda.731,7/1/2015,3.972727,28,42602
Alameda.831,8/1/2015,4.726087,33,42602
Alameda.931,9/1/2015,8.417391,35,42602
Alameda.1031,10/1/2015,10.128261,33,42602
Alameda.1131,11/1/2015,13.3260865,41,42602
Alameda.1231,12/1/2015,13.16087,41,42602
Alpine.151,1/1/2015,16.956522,72,42602
Alpine.231,2/1/2015,11.043478,44,42602
Alpine.331,3/1/2015,10.1434785,35,42602
Alpine.431,4/1/2015,5.86,42,42602
Alpine.531,5/1/2015,3.652174,38,42602
Alpine.631,6/1/2015,5.0586955,34,42602
Alpine.731,7/1/2015,3.797826,29,42602
Alpine.831,8/1/2015,4.469565,35,42602
Alpine.931,9/1/2015,7.886957,35,42602
Alpine.1031,10/1/2015,10,35,42602
Alpine.1131,11/1/2015,13.16087,43,42602
Alpine.1231,12/1/2015,12.9543475,45,42602
Amador.151,1/1/2015,16.956522,71,42602
Amador.231,2/1/2015,11.026087,44,42602
Amador.331,3/1/2015,10.408696,35,42602
Amador.431,4/1/2015,5.736364,42,42602
Amador.531,5/1/2015,3.652174,38,42602
Amador.631,6/1/2015,5.1545455,34,42602
Amador.731,7/1/2015,3.921739,28,42602
Amador.831,8/1/2015,4.569565,34,42602
Amador.931,9/1/2015,7.876087,35,42602
Amador.1031,10/1/2015,9.969565,34,42602
Amador.1131,11/1/2015,12.921739,42,42602
Amador.1231,12/1/2015,12.895652,44,42602
Butte.151,1/1/2015,17.113043,74.5,42602
Butte.231,2/1/2015,11.1913045,47,42602
Butte.331,3/1/2015,10.63913,35,42602
Butte.431,4/1/2015,6.047826,42,42602
Butte.531,5/1/2015,3.647826,38,42602
Butte.631,6/1/2015,5.226087,34,42602
Butte.731,7/1/2015,3.9021735,29,42602
Butte.831,8/1/2015,4.652174,35,42602
Butte.931,9/1/2015,8.252174,36,42602
Butte.1031,10/1/2015,10.128261,37,42602
Butte.1131,11/1/2015,13.23913,47,42602
Butte.1231,12/1/2015,13.109091,50,42602
Calaveras.151,1/1/2015,17.0478265,72,42602
Calaveras.231,2/1/2015,11.035672,44,42602
Calaveras.331,3/1/2015,10.6,35,42602
Calaveras.431,4/1/2015,6.031818,42,42602
Calaveras.531,5/1/2015,3.695652,38,42602
Calaveras.631,6/1/2015,5.2391305,34,42602
Calaveras.731,7/1/2015,3.921739,28,42602
Calaveras.831,8/1/2015,4.647826,34,42602
Calaveras.931,9/1/2015,8.1630435,35,42602
Calaveras.1031,10/1/2015,10.134783,34,42602
Calaveras.1131,11/1/2015,13.23913,43,42602
Calaveras.1231,12/1/2015,13.0065215,45,42602
Colusa.151,1/1/2015,17.113043,72,42602
Colusa.231,2/1/2015,11.1913045,45,42602
Colusa.331,3/1/2015,10.63913,35,42602
Colusa.431,4/1/2015,6.047826,42,42602
Colusa.531,5/1/2015,3.647826,38,42602
Colusa.631,6/1/2015,5.226087,34,42602
Colusa.731,7/1/2015,3.9021735,28,42602
Colusa.831,8/1/2015,4.652174,34,42602
Colusa.931,9/1/2015,8.252174,35,42602
Colusa.1031,10/1/2015,10.128261,34,42602
Colusa.1131,11/1/2015,13.23913,43,42602
Colusa.1231,12/1/2015,13.109091,45,42602
Contra Costa.151,1/1/2015,15.756522,70,42602
Contra Costa.231,2/1/2015,10.4130435,43,42602
Contra Costa.331,3/1/2015,9.543478,36,42602
Contra Costa.431,4/1/2015,5.7,42,42602
Contra Costa.531,5/1/2015,3.645652,38,42602
Contra Costa.631,6/1/2015,5.082609,35,42602
Contra Costa.731,7/1/2015,3.917391,30,42602
Contra Costa.831,8/1/2015,4.583333,34,42602
Contra Costa.931,9/1/2015,8.086957,35,42602
Contra Costa.1031,10/1/2015,9.969565,34,42602
Contra Costa.1131,11/1/2015,12.5347825,39,42602
Contra Costa.1231,12/1/2015,11.869565,40,42602
Del Norte.151,1/1/2015,16.854348,75,42602
Del Norte.231,2/1/2015,11.0608695,45,42602
Del Norte.331,3/1/2015,10.944565,35,42602
Del Norte.431,4/1/2015,5.628261,42,42602
Del Norte.531,5/1/2015,3.521739,38,42602
Del Norte.631,6/1/2015,4.978261,34.5,42602
Del Norte.731,7/1/2015,3.728261,29,42602
Del Norte.831,8/1/2015,4.306522,37,42602
Del Norte.931,9/1/2015,7.313043,36,42602
Del Norte.1031,10/1/2015,10.008696,37,42602
Del Norte.1131,11/1/2015,12.595652,48,42602
Del Norte.1231,12/1/2015,12.6891305,50,42602
El Dorado.151,1/1/2015,17.0652175,72,42602
El Dorado.231,2/1/2015,11.0630435,45,42602
El Dorado.331,3/1/2015,10.6347825,35,42602
El Dorado.431,4/1/2015,6.1,42,42602
El Dorado.531,5/1/2015,3.677494,37,42602
El Dorado.631,6/1/2015,5.2391305,33,42602
El Dorado.731,7/1/2015,3.913043,27,42602
El Dorado.831,8/1/2015,4.630435,34,42602
El Dorado.931,9/1/2015,8.252174,34,42602
El Dorado.1031,10/1/2015,10.152174,34,42602
El Dorado.1131,11/1/2015,13.16087,43,42602
El Dorado.1231,12/1/2015,13.208696,45,42602
Fresno.151,1/1/2015,17.228261,71,42602
Fresno.231,2/1/2015,11.2326085,44,42602
Fresno.331,3/1/2015,10.230435,35,42602
Fresno.431,4/1/2015,6.004348,42,42602
Fresno.531,5/1/2015,3.704348,37,42602
Fresno.631,6/1/2015,5.1847825,33,42602
Fresno.731,7/1/2015,3.919565,27,42602
Fresno.831,8/1/2015,4.602174,33,42602
Fresno.931,9/1/2015,8.234783,34,42602
Fresno.1031,10/1/2015,10.128261,33,42602
Fresno.1131,11/1/2015,13.4891305,42,42602
Fresno.1231,12/1/2015,13.3577075,43,42602
Glenn.151,1/1/2015,17.443478,74,42602
Glenn.231,2/1/2015,11.3543475,44,42602
Glenn.331,3/1/2015,10.721739,36,42602
Glenn.431,4/1/2015,6.373913,43,42602
Glenn.531,5/1/2015,3.768182,39,42602
Glenn.631,6/1/2015,5.286957,37,42602
Glenn.731,7/1/2015,4.0065215,31,42602
Glenn.831,8/1/2015,4.7347825,34.5,42602
Glenn.931,9/1/2015,8.473913,36,42602
Glenn.1031,10/1/2015,10.447826,36,42602
Glenn.1131,11/1/2015,13.413043,45,42602
Glenn.1231,12/1/2015,13.408696,49,42602
Humboldt.151,1/1/2015,16.854348,75,42602
Humboldt.231,2/1/2015,11.0608695,46,42602
Humboldt.331,3/1/2015,10.944565,35,42602
Humboldt.431,4/1/2015,5.628261,42,42602
Humboldt.531,5/1/2015,3.521739,38,42602
Humboldt.631,6/1/2015,4.978261,34.5,42602
Humboldt.731,7/1/2015,3.728261,29,42602
Humboldt.831,8/1/2015,4.306522,38,42602
Humboldt.931,9/1/2015,7.313043,37,42602
Humboldt.1031,10/1/2015,10.008696,38,42602
Humboldt.1131,11/1/2015,12.595652,48,42602
Humboldt.1231,12/1/2015,12.6891305,50.5,42602
Imperial.151,1/1/2015,17.4391305,74.5,42602
Imperial.231,2/1/2015,11.402778,47,42602
Imperial.331,3/1/2015,10.675,34,42602
Imperial.431,4/1/2015,6.252174,41,42602
Imperial.531,5/1/2015,3.773913,35.5,42602
Imperial.631,6/1/2015,5.2391305,32,42602
Imperial.731,7/1/2015,3.952174,25,42602
Imperial.831,8/1/2015,4.730435,35,42602
Imperial.931,9/1/2015,8.473913,36,42602
Imperial.1031,10/1/2015,10.36087,37,42602
Imperial.1131,11/1/2015,13.79249,47,42602
Imperial.1231,12/1/2015,13.547826,50,42602
Inyo.151,1/1/2015,17.145652,71,42602
Inyo.231,2/1/2015,11.3543475,44,42602
Inyo.331,3/1/2015,10.717391,35,42602
Inyo.431,4/1/2015,5.7195655,42,42602
Inyo.531,5/1/2015,3.4021735,38,42602
Inyo.631,6/1/2015,4.9913045,34,42602
Inyo.731,7/1/2015,3.6956525,29,42602
Inyo.831,8/1/2015,4.1434785,34,42602
Inyo.931,9/1/2015,7.578261,35,42602
Inyo.1031,10/1/2015,10.008696,34,42602
Inyo.1131,11/1/2015,13.486957,42,42602
Inyo.1231,12/1/2015,13.256522,43,42602
Kern.151,1/1/2015,16.956522,74,42602
Kern.231,2/1/2015,11.026087,47,42602
Kern.331,3/1/2015,10.408696,35,42602
Kern.431,4/1/2015,5.736364,42,42602
Kern.531,5/1/2015,3.652174,38,42602
Kern.631,6/1/2015,5.1545455,34,42602
Kern.731,7/1/2015,3.921739,29,42602
Kern.831,8/1/2015,4.569565,36.5,42602
Kern.931,9/1/2015,7.876087,36,42602
Kern.1031,10/1/2015,9.969565,37,42602
Kern.1131,11/1/2015,12.921739,47,42602
Kern.1231,12/1/2015,12.895652,49,42602
Kings.151,1/1/2015,17.228261,70,42602
Kings.231,2/1/2015,11.2326085,44,42602
Kings.331,3/1/2015,10.230435,35,42602
Kings.431,4/1/2015,6.004348,42,42602
Kings.531,5/1/2015,3.704348,37,42602
Kings.631,6/1/2015,5.1847825,33,42602
Kings.731,7/1/2015,3.919565,27,42602
Kings.831,8/1/2015,4.602174,34,42602
Kings.931,9/1/2015,8.234783,34,42602
Kings.1031,10/1/2015,10.128261,33,42602
Kings.1131,11/1/2015,13.4891305,41,42602
Kings.1231,12/1/2015,13.3577075,42,42602
Lake.151,1/1/2015,16.865217,70,42602
Lake.231,2/1/2015,11.028261,44,42602
Lake.331,3/1/2015,10.052632,35,42602
Lake.431,4/1/2015,5.8669565,42,42602
Lake.531,5/1/2015,3.654348,38,42602
Lake.631,6/1/2015,5.1173915,33,42602
Lake.731,7/1/2015,3.869565,27,42602
Lake.831,8/1/2015,4.569565,34,42602
Lake.931,9/1/2015,8.130435,34,42602
Lake.1031,10/1/2015,10.008696,33,42602
Lake.1131,11/1/2015,12.978261,41,42602
Lake.1231,12/1/2015,12.969565,42,42602
Lassen.151,1/1/2015,17.145652,74,42602
Lassen.231,2/1/2015,11.3543475,47,42602
Lassen.331,3/1/2015,10.717391,36,42602
Lassen.431,4/1/2015,5.7195655,43,42602
Lassen.531,5/1/2015,3.4021735,39,42602
Lassen.631,6/1/2015,4.9913045,37,42602
Lassen.731,7/1/2015,3.6956525,31,42602
Lassen.831,8/1/2015,4.1434785,36.5,42602
Lassen.931,9/1/2015,7.578261,36,42602
Lassen.1031,10/1/2015,10.008696,37,42602
Lassen.1131,11/1/2015,13.486957,47,42602
Lassen.1231,12/1/2015,13.256522,49,42602
Los Angeles.151,1/1/2015,15.756522,70,42602
Los Angeles.231,2/1/2015,10.4130435,43,42602
Los Angeles.331,3/1/2015,9.543478,36,42602
Los Angeles.431,4/1/2015,5.7,42,42602
Los Angeles.531,5/1/2015,3.645652,38,42602
Los Angeles.631,6/1/2015,5.082609,35,42602
Los Angeles.731,7/1/2015,3.917391,30,42602
Los Angeles.831,8/1/2015,4.583333,34,42602
Los Angeles.931,9/1/2015,8.086957,35,42602
Los Angeles.1031,10/1/2015,9.969565,34,42602
Los Angeles.1131,11/1/2015,12.5347825,39,42602
Los Angeles.1231,12/1/2015,11.869565,40,42602
Madera.151,1/1/2015,17.228261,71,42602
Madera.231,2/1/2015,11.2326085,44,42602
Madera.331,3/1/2015,10.230435,35,42602
Madera.431,4/1/2015,6.004348,42,42602
Madera.531,5/1/2015,3.704348,38,42602
Madera.631,6/1/2015,5.1847825,33,42602
Madera.731,7/1/2015,3.919565,27,42602
Madera.831,8/1/2015,4.602174,33,42602
Madera.931,9/1/2015,8.234783,34,42602
Madera.1031,10/1/2015,10.128261,33,42602
Madera.1131,11/1/2015,13.4891305,42,42602
Madera.1231,12/1/2015,13.3577075,43,42602
Marin.151,1/1/2015,16.6044465,71,42602
Marin.231,2/1/2015,10.884783,44,42602
Marin.331,3/1/2015,9.7838675,35,42602
Marin.431,4/1/2015,5.730435,42,42602
Marin.531,5/1/2015,3.63913,37,42602
Marin.631,6/1/2015,5.130435,33,42602
Marin.731,7/1/2015,3.83913,27,42602
Marin.831,8/1/2015,4.5652175,35,42602
Marin.931,9/1/2015,8.108696,34,42602
Marin.1031,10/1/2015,9.978261,34,42602
Marin.1131,11/1/2015,12.956522,43,42602
Marin.1231,12/1/2015,12.865119,44,42602
Mariposa.151,1/1/2015,15.902174,71,42602
Mariposa.231,2/1/2015,10.4130435,44,42602
Mariposa.331,3/1/2015,9.5081025,35,42602
Mariposa.431,4/1/2015,5.495652,42,42602
Mariposa.531,5/1/2015,3.413043,38,42602
Mariposa.631,6/1/2015,4.978261,34,42602
Mariposa.731,7/1/2015,3.6065215,29,42602
Mariposa.831,8/1/2015,4.2155135,33,42602
Mariposa.931,9/1/2015,7.578261,35,42602
Mariposa.1031,10/1/2015,9.73913,34,42602
Mariposa.1131,11/1/2015,12.591304,42,42602
Mariposa.1231,12/1/2015,12.2891305,43,42602
Mendocino.151,1/1/2015,17.443478,74.5,42602
Mendocino.231,2/1/2015,11.3543475,47,42602
Mendocino.331,3/1/2015,10.721739,35,42602
Mendocino.431,4/1/2015,6.373913,42,42602
Mendocino.531,5/1/2015,3.768182,38,42602
Mendocino.631,6/1/2015,5.286957,34.5,42602
Mendocino.731,7/1/2015,4.0065215,29,42602
Mendocino.831,8/1/2015,4.7347825,35,42602
Mendocino.931,9/1/2015,8.473913,36,42602
Mendocino.1031,10/1/2015,10.447826,37,42602
Mendocino.1131,11/1/2015,13.413043,47,42602
Mendocino.1231,12/1/2015,13.408696,50,42602
Merced.151,1/1/2015,17.4391305,72,42602
Merced.231,2/1/2015,11.402778,44,42602
Merced.331,3/1/2015,10.675,35,42602
Merced.431,4/1/2015,6.252174,42,42602
Merced.531,5/1/2015,3.773913,37,42602
Merced.631,6/1/2015,5.2391305,33,42602
Merced.731,7/1/2015,3.952174,27,42602
Merced.831,8/1/2015,4.730435,35,42602
Merced.931,9/1/2015,8.473913,35,42602
Merced.1031,10/1/2015,10.36087,35,42602
Merced.1131,11/1/2015,13.79249,43,42602
Merced.1231,12/1/2015,13.547826,45,42602
Modoc.151,1/1/2015,17.0478265,75,42602
Modoc.231,2/1/2015,11.035672,45,42602
Modoc.331,3/1/2015,10.6,34,42602
Modoc.431,4/1/2015,5.708696,41,42602
Modoc.531,5/1/2015,3.63913,36,42602
Modoc.631,6/1/2015,5.086957,31,42602
Modoc.731,7/1/2015,3.871739,26,42602
Modoc.831,8/1/2015,4.473913,37,42602
Modoc.931,9/1/2015,7.808696,40,42602
Modoc.1031,10/1/2015,9.969565,37,42602
Modoc.1131,11/1/2015,12.921739,48,42602
Modoc.1231,12/1/2015,13.0065215,50,42602
Mono.151,1/1/2015,16.695652,72,42602
Mono.231,2/1/2015,10.586957,45,42602
Mono.331,3/1/2015,10.126087,35,42602
Mono.431,4/1/2015,5.586957,42,42602
Mono.531,5/1/2015,3.508696,38,42602
Mono.631,6/1/2015,5.0844865,34.5,42602
Mono.731,7/1/2015,3.869565,29,42602
Mono.831,8/1/2015,4.513043,35,42602
Mono.931,9/1/2015,7.6565215,35,42602
Mono.1031,10/1/2015,9.7133395,36,42602
Mono.1131,11/1/2015,12.643478,43,42602
Mono.1231,12/1/2015,12.678261,46,42602
Monterey.151,1/1/2015,16.9,71,42602
Monterey.231,2/1/2015,11.045652,44,42602
Monterey.331,3/1/2015,10.204348,35,42602
Monterey.431,4/1/2015,5.873913,42,42602
Monterey.531,5/1/2015,3.63913,38,42602
Monterey.631,6/1/2015,5.1402175,35,42602
Monterey.731,7/1/2015,3.83913,30,42602
Monterey.831,8/1/2015,4.552174,34,42602
Monterey.931,9/1/2015,8.152174,35,42602
Monterey.1031,10/1/2015,10.052174,34,42602
Monterey.1131,11/1/2015,13.23913,42,42602
Monterey.1231,12/1/2015,13.056522,43,42602
Napa.151,1/1/2015,16.289312,69,42602
Napa.231,2/1/2015,10.7201865,43,42602
Napa.331,3/1/2015,9.721739,35,42602
Napa.431,4/1/2015,5.873913,42,42602
Napa.531,5/1/2015,3.7,38,42602
Napa.631,6/1/2015,5.159091,35,42602
Napa.731,7/1/2015,3.943478,29,42602
Napa.831,8/1/2015,4.6637685,34,42602
Napa.931,9/1/2015,8.173913,35,42602
Napa.1031,10/1/2015,10.086957,34,42602
Napa.1131,11/1/2015,12.721739,39,42602
Napa.1231,12/1/2015,12.242105,40,42602
Nevada.151,1/1/2015,17.4934785,71,42602
Nevada.231,2/1/2015,11.5847825,44,42602
Nevada.331,3/1/2015,10.934783,35,42602
Nevada.431,4/1/2015,6.478261,42,42602
